Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Output
-2.0945,-1.5904,-1.2618,0.085762,0.36359,0.13367,0.17489,0.2644,0.35281,0.8643,-0.36822,-0.62524,1.5781,0.1944
-1.6606,-1.0497,-2.3495,-4.0479,-4.5708,-3.8256,-4.5354,-2.3952,-2.0204,-0.18241,3.5983,5.7988,-9.2813,-0.030928
-0.64088,0.042339,0.69813,-0.06286,1.5102,1.1889,1.7247,1.4317,1.5833,3.3962,-0.70198,-0.23532,1.7772,-0.43741
0.14436,1.0186,0.49102,0.83234,0.90733,0.6403,0.022231,-0.41528,-0.72193,-0.65614,-1.6958,-2.3575,-1.5254,0.51988
0.072957,-0.032847,-0.087385,0.35004,0.59582,1.2962,0.44324,0.67058,-0.44885,-0.26823,-1.1668,0.68893,0.20751,-0.21502
1.157,0.60884,1.2102,0.90038,1.1096,0.51598,0.37464,0.59778,-0.23484,-0.76619,-2.038,1.7469,-2.7537,-0.45508
1.5413,1.2316,1.5324,1.2664,-0.85931,-1.1114,-1.0204,-0.33203,-0.48108,-0.19532,1.5912,3.7958,3.1628,0.077809
-1.2513,-0.26368,-0.36432,-0.829,-1.5678,-1.0434,-0.53904,-0.23721,0.28386,-0.91738,0.81677,0.45533,-0.42081,0
0.69701,0.77547,0.71338,0.61528,-0.10674,0.51237,-0.89627,-1.0871,-1.5007,-0.91625,-0.12236,-2.7283,-1.5643,-0.011782
-0.63205,-0.34055,-0.13329,-0.6272,0.59113,0.55204,0.47917,-0.032683,-0.30318,0.35483,-0.43893,2.8011,0.15824,0.088365
0.20267,0.24196,0.40013,-0.67443,-1.2701,-1.9549,-2.388,-0.94267,-0.29511,-0.60175,1.2504,3.7772,-0.29943,0.053067
-1.5873,-1.7846,-2.1178,-1.5493,-0.99412,-1.0007,0.38575,1.3521,1.6591,0.2769,1.6678,5.7141,0.15101,0.029455
0.73022,0.57357,0.81859,0.98781,1.0907,0.80192,-0.10435,-0.47389,-0.61457,-0.49436,-1.6574,-4.1255,-3.962,0.027982
1.085,1.0967,2.13,1.1114,-0.33534,0.37564,0.06579,0.062783,-1.1224,0.12327,-0.40745,0.067833,-3.8578,0.43888
-1.7077,-0.70129,0.16257,0.12609,0.15949,0.19628,0.65871,0.46618,-0.39905,0.50942,0.21184,-1.101,-5.1159,0.17084
0.6739,-0.48036,0.13573,-0.097295,0.19348,0.099249,0.56702,-0.42414,-0.427,-0.046441,-0.89941,-0.26432,-2.664,0.51988
1.1711,0.70373,1.7883,1.5391,0.59834,0.63985,0.15002,-0.34885,0.74532,-1.2493,-1.1054,-0.64237,-2.0173,0.11782
0.10043,0.36414,0.86591,0.75943,0.67016,0.67509,0.072866,-0.99458,-1.0603,-0.77477,0.10952,-0.15912,0.88259,0.11929
1.171,-0.10138,-0.21923,0.27767,0.72285,0.64964,0.46992,0.011087,0.18627,-0.63832,-0.45437,-1.2442,-2.7052,0.38881
-0.48756,-1.1494,-0.43197,-0.0058104,0.34661,0.57673,0.94665,0.53156,1.2732,-0.066938,-0.31642,1.1872,0.017569,-1.2592
0.50443,0.1998,0.09885,0.23674,0.7208,0.39817,0.37838,0.30972,-0.84098,-0.78865,-0.87425,-0.98477,-1.1207,0.58763
0.043961,-0.21508,0.65861,0.96367,0.99049,0.83088,0.10059,0.12305,-0.0093861,-0.71858,-1.2254,-0.13145,3.6941,0.17378
-2.2713,-2.3655,-2.0185,-1.6344,-1.0097,-1.7107,-0.50748,0.82034,1.2815,2.9472,1.0517,-0.49263,-0.67417,-0.3461
-2.4997,-1.8609,-1.7967,-1.692,-1.3869,-1.292,-0.41955,0.96295,1.9272,1.2158,1.606,1.5242,-5.961,-0.023564
-0.60069,-0.71987,-0.63971,-0.57818,0.6492,1.0348,0.76568,0.011028,0.32242,0.38305,-0.17361,-1.0707,3.0661,-0.18409
-0.39126,0.17195,-0.1323,0.0074972,0.81489,0.99009,0.8533,0.30784,1.0697,-0.30167,-0.35434,0.18016,1.8072,0.20619
-1.1325,-0.95756,-0.19056,0.6569,-0.2483,0.33217,0.89237,0.88632,1.0188,2.4247,-0.072238,-0.7329,-0.74867,-0.7187
-0.63249,-0.94315,-0.35953,-0.7557,0.070434,0.7853,0.10368,0.51464,0.1243,0.69904,-0.36422,-0.85795,2.0234,-0.12813
0.039415,-0.24916,-0.78911,-1.097,-0.32385,-0.84975,-0.99697,-1.3565,-1.5792,-0.27124,0.67412,1.7767,2.0222,0.0088365
1.5107,3.9735,2.6006,2.242,0.62041,-0.038969,1.2261,2.7557,1.4098,1.5733,-0.12655,-2.98,-0.85447,0.05719
1.22,1.9819,1.9626,1.3115,1.4526,0.88363,-0.27037,-1.0877,-0.91797,-0.94167,-2.4226,-0.68321,-5.0584,-0.26951
-0.00088321,-0.27816,-0.10616,-1.0598,0.14043,0.026443,0.091051,-0.05931,-0.085975,-0.34869,0.40558,2.6226,2.1039,0.12224
