Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Output
-0.56377,-0.62381,-0.37588,0.014856,0.66522,0.82796,1.3015,1.7292,2.18,3.393,-0.94689,-2.8137,3.0852,0.94233
-0.71991,-0.99915,-0.76554,0.14459,0.19613,-0.081553,0.80032,0.92314,0.65404,-0.019093,0.19482,-1.4005,0.51876,0.31121
-0.03771,-0.98886,-0.55065,0.45178,-0.090434,0.63381,0.18632,0.21288,-0.055099,-0.22994,-0.4114,1.658,-0.38836,0.93513
1.6075,1.2673,1.8387,1.8565,1.4695,0.57796,-0.58271,-0.56063,-1.4687,-1.3167,-1.7391,-1.3366,0.30324,-0.3906
-0.69486,-0.46634,-0.42695,-0.21872,0.1447,-0.93651,-1.4126,-1.6833,-0.4649,-0.17285,1.2092,3.6128,-2.5648,-0.55317
0.36286,0.71391,1.0934,0.092425,-1.7983,-1.8121,-0.12852,-0.67193,0.50514,0.34994,-0.13355,0.76218,5.3667,-0.022325
-0.20059,0.19464,-0.020368,-0.19237,0.52045,0.022667,-1.3366,-1.5886,-1.4312,-0.98451,0.77587,0.90823,-0.24583,0.18602
-0.19072,0.011726,-0.6325,-0.15164,0.28795,-0.20936,-1.6401,-1.571,-0.30571,-1.3545,0.37098,0.96805,0.99317,-0.73759
-2.0388,-1.7819,-0.71175,-0.19114,-0.024841,1.1108,0.83927,2.1134,2.9773,4.4285,-0.48949,0.87262,2.2854,0.34744
0.77087,1.8089,2.5448,2.9219,1.3244,0.9844,0.93891,1.3306,-0.14814,0.0081084,-2.113,-0.24594,-2.5182,0.50579
0.047057,-0.054004,-0.40253,-1.1668,-1.1871,-0.58846,0.61896,0.48742,0.52863,-0.8919,-0.073772,-0.40399,-1.4303,-0.078239
0.77269,0.45542,-0.33926,-0.84721,-0.4705,-1.4493,-1.3158,-0.81616,-1.7034,-0.22052,-0.25496,0.78908,0.45545,-0.19901
-0.60129,1.1813,1.8528,0.60042,-0.56197,-1.7647,-1.6648,-1.1181,-1.4373,-0.45974,1.5914,3.5236,8.3269,-1.1094
-1.7571,-2.0299,-2.1031,-1.7619,-0.41361,1.3262,0.47415,2.3123,3.88,4.0936,-0.84676,1.5413,2.0031,0.34744
-0.91097,-1.4975,-1.4938,-1.7208,-1.0036,-0.92837,-1.4896,-0.38531,0.00037782,-0.076023,1.594,-1.1828,-1.4483,0.1341
-1.1721,-1.5917,-1.5341,-1.4496,-0.75896,-0.01208,-1.2253,-0.52997,0.16906,-0.514,0.81366,0.20033,-4.7174,0.13432
